Serial Number,Zone_ID,ID_Campagne_Vaccination,Region,District,Aire_de_sante,Nom_du_site,ID_Site,date_debut_enregistrement,GPS_Lat,GPS_Long,Trajet_Km,Niveau_accessibilite,Moyen_transport,Immatriculation_vehicule,Carte_grise,Nom_chauffeur,Permis_conduire,Statut_site,ID_Superviseur,Nom_Superviseur,ID_Agent_Sante,Nom_Agent_Sante,Profession_Agent,Fonction_Agent,Experience_Vaccination,Annees_Experience,Formation_Specifique,Approbation_Formation_Superviseur,ID_Materiel,Nom_materiel,Type_materiel,Stock_Depart,Stock_transporte,Materiel_Fonctionnel,Nom_Demandeur,Temperature_Conservation,Date_Transport,Lieu_Depart,Lieu_Arrivee,Date_Arrivee,Nom_Receveur,Stock_Restant,Rupture_Stock,Date_fin_enregistrement
201,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,HD Nkongsamba,LIT-NKON-01,2024-12-13,3.976139,9.754826,30,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,619,Nji Jean,Relais communautaire,Mobilisateur,Oui,7,Rubéole,Non,1,Glacière,Froid,83,34,Non,Tchinda Jules,6.4,2024-12-10,Depot Central Douala,HD Nkongsamba,2024-12-12,Nji Jean,30,Non,2025-02-07
202,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,HD Nkongsamba,LIT-NKON-01,2024-12-13,3.976139,9.754826,30,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,619,Nji Jean,Relais communautaire,Mobilisateur,Oui,7,Rubéole,Non,2,Thermos,Froid,61,21,Non,Tchinda Jules,4.6,2024-12-10,Depot Central Douala,HD Nkongsamba,2024-12-12,Nji Jean,21,Non,2025-02-07
203,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,HD Nkongsamba,LIT-NKON-01,2024-12-13,3.976139,9.754826,30,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,619,Nji Jean,Relais communautaire,Mobilisateur,Oui,7,Rubéole,Non,3,Kit seringues,Consumable,172,110,Oui,Tchinda Jules,N/A,2024-12-12,Depot Central Douala,HD Nkongsamba,2024-12-13,Nji Jean,69,Non,2025-02-07
204,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,HD Nkongsamba,LIT-NKON-01,2024-12-13,3.976139,9.754826,30,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,619,Nji Jean,Relais communautaire,Mobilisateur,Oui,7,Rubéole,Non,4,Carnets,Papeterie,193,164,Oui,Tchinda Jules,N/A,2024-12-12,Depot Central Douala,HD Nkongsamba,2024-12-14,Nji Jean,152,Non,2025-02-07
205,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-18,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,619,Nji Jean,Infirmier,Vaccinateur,Oui,3,Rougeole,Oui,1,Glacière,Froid,137,127,Non,Tchinda Jules,6.3,2025-06-17,Depot Central Douala,CSI Nkongsamba 1,2025-06-19,Nji Jean,120,Non,2025-08-18
206,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-18,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,619,Nji Jean,Infirmier,Vaccinateur,Oui,3,Rougeole,Oui,2,Thermos,Froid,165,134,Oui,Tchinda Jules,2.7,2025-06-17,Depot Central Douala,CSI Nkongsamba 1,2025-06-18,Nji Jean,125,Non,2025-08-18
207,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-18,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,619,Nji Jean,Infirmier,Vaccinateur,Oui,3,Rougeole,Oui,3,Kit seringues,Consumable,197,167,Non,Tchinda Jules,N/A,2025-06-15,Depot Central Douala,CSI Nkongsamba 1,2025-06-16,Nji Jean,12,Non,2025-08-18
208,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-18,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,619,Nji Jean,Infirmier,Vaccinateur,Oui,3,Rougeole,Oui,4,Carnets,Papeterie,86,11,Oui,Tchinda Jules,N/A,2025-06-17,Depot Central Douala,CSI Nkongsamba 1,2025-06-18,Nji Jean,11,Non,2025-08-18
209,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-01,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,269,Mouafo Franck,Aide-soignant,Enregistreur,Non,0,Rougeole,Non,1,Glacière,Froid,126,52,Non,Tchinda Jules,7.0,2025-05-31,Depot Central Douala,CSI Nkongsamba 1,2025-06-01,Mouafo Franck,19,Non,2025-07-26
210,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-01,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,269,Mouafo Franck,Aide-soignant,Enregistreur,Non,0,Rougeole,Non,2,Thermos,Froid,170,152,Oui,Tchinda Jules,5.3,2025-05-29,Depot Central Douala,CSI Nkongsamba 1,2025-05-30,Mouafo Franck,20,Non,2025-07-26
211,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-01,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,269,Mouafo Franck,Aide-soignant,Enregistreur,Non,0,Rougeole,Non,3,Kit seringues,Consumable,66,66,Non,Tchinda Jules,N/A,2025-05-31,Depot Central Douala,CSI Nkongsamba 1,2025-06-01,Mouafo Franck,48,Non,2025-07-26
212,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-01,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,269,Mouafo Franck,Aide-soignant,Enregistreur,Non,0,Rougeole,Non,4,Carnets,Papeterie,198,154,Oui,Tchinda Jules,N/A,2025-05-31,Depot Central Douala,CSI Nkongsamba 1,2025-06-01,Mouafo Franck,36,Non,2025-07-26
213,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-21,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,624,Mboumba Samuel,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,1,Glacière,Froid,138,88,Non,Tchinda Jules,7.7,2025-06-18,Depot Central Douala,CSI Nkongsamba 1,2025-06-19,Mboumba Samuel,47,Non,2025-08-12
214,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-21,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,624,Mboumba Samuel,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,2,Thermos,Froid,188,26,Non,Tchinda Jules,3.5,2025-06-18,Depot Central Douala,CSI Nkongsamba 1,2025-06-19,Mboumba Samuel,19,Non,2025-08-12
215,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-21,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,624,Mboumba Samuel,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,3,Kit seringues,Consumable,69,19,Non,Tchinda Jules,N/A,2025-06-18,Depot Central Douala,CSI Nkongsamba 1,2025-06-19,Mboumba Samuel,9,Non,2025-08-12
216,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 1,LIT-NKON-02,2025-06-21,3.90033,9.69436,2,Facile,Piéton,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,624,Mboumba Samuel,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,4,Carnets,Papeterie,187,11,Non,Tchinda Jules,N/A,2025-06-20,Depot Central Douala,CSI Nkongsamba 1,2025-06-21,Mboumba Samuel,0,Oui,2025-08-12
217,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-12-08,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,679,Nkongho Marie,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,1,Glacière,Froid,96,81,Non,Tchinda Jules,6.2,2024-12-05,Depot Central Douala,CSI Nkongsamba 2,2024-12-06,Nkongho Marie,17,Non,2025-02-05
218,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-12-08,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,679,Nkongho Marie,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,2,Thermos,Froid,167,15,Non,Tchinda Jules,2.9,2024-12-05,Depot Central Douala,CSI Nkongsamba 2,2024-12-06,Nkongho Marie,0,Oui,2025-02-05
219,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-12-08,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,679,Nkongho Marie,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,3,Kit seringues,Consumable,111,15,Non,Tchinda Jules,N/A,2024-12-07,Depot Central Douala,CSI Nkongsamba 2,2024-12-09,Nkongho Marie,2,Non,2025-02-05
220,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-12-08,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,679,Nkongho Marie,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,4,Carnets,Papeterie,179,101,Non,Tchinda Jules,N/A,2024-12-07,Depot Central Douala,CSI Nkongsamba 2,2024-12-08,Nkongho Marie,5,Non,2025-02-05
221,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2025-06-02,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,725,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,4,Rougeole,Oui,1,Glacière,Froid,99,39,Non,Tchinda Jules,7.2,2025-06-01,Depot Central Douala,CSI Nkongsamba 2,2025-06-02,Nkongho Samuel,27,Non,2025-07-27
222,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2025-06-02,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,725,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,4,Rougeole,Oui,2,Thermos,Froid,120,23,Oui,Tchinda Jules,3.8,2025-06-01,Depot Central Douala,CSI Nkongsamba 2,2025-06-03,Nkongho Samuel,13,Non,2025-07-27
223,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2025-06-02,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,725,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,4,Rougeole,Oui,3,Kit seringues,Consumable,85,32,Oui,Tchinda Jules,N/A,2025-05-30,Depot Central Douala,CSI Nkongsamba 2,2025-06-01,Nkongho Samuel,29,Non,2025-07-27
224,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2025-06-02,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,725,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,4,Rougeole,Oui,4,Carnets,Papeterie,89,54,Non,Tchinda Jules,N/A,2025-06-01,Depot Central Douala,CSI Nkongsamba 2,2025-06-02,Nkongho Samuel,44,Non,2025-07-27
225,Zone 4,POL-032024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-03-24,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,295,Abena Rose,Relais communautaire,Mobilisateur,Non,0,Polio,Non,1,Glacière,Froid,123,84,Non,Tchinda Jules,5.0,2024-03-23,Depot Central Douala,CSI Nkongsamba 2,2024-03-25,Abena Rose,12,Non,2024-05-14
226,Zone 4,POL-032024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-03-24,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,295,Abena Rose,Relais communautaire,Mobilisateur,Non,0,Polio,Non,2,Thermos,Froid,126,34,Oui,Tchinda Jules,3.1,2024-03-22,Depot Central Douala,CSI Nkongsamba 2,2024-03-24,Abena Rose,4,Non,2024-05-14
227,Zone 4,POL-032024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-03-24,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,295,Abena Rose,Relais communautaire,Mobilisateur,Non,0,Polio,Non,3,Kit seringues,Consumable,92,52,Non,Tchinda Jules,N/A,2024-03-22,Depot Central Douala,CSI Nkongsamba 2,2024-03-24,Abena Rose,40,Non,2024-05-14
228,Zone 4,POL-032024-LIT,Littoral,Nkongsamba,Nkongsamba Urbain,CSI Nkongsamba 2,LIT-NKON-03,2024-03-24,3.924324,9.748321,13,Facile,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,295,Abena Rose,Relais communautaire,Mobilisateur,Non,0,Polio,Non,4,Carnets,Papeterie,135,106,Oui,Tchinda Jules,N/A,2024-03-21,Depot Central Douala,CSI Nkongsamba 2,2024-03-22,Abena Rose,92,Non,2024-05-14
229,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-13,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,886,Mboumba Samuel,Médecin,Vaccinateur,Oui,6,Rubéole,Non,1,Glacière,Froid,172,47,Oui,Tchinda Jules,5.5,2024-12-10,Depot Central Douala,Marché Nkongsamba,2024-12-12,Mboumba Samuel,17,Non,2025-02-02
230,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-13,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,886,Mboumba Samuel,Médecin,Vaccinateur,Oui,6,Rubéole,Non,2,Thermos,Froid,99,92,Non,Tchinda Jules,7.2,2024-12-11,Depot Central Douala,Marché Nkongsamba,2024-12-12,Mboumba Samuel,35,Non,2025-02-02
231,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-13,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,886,Mboumba Samuel,Médecin,Vaccinateur,Oui,6,Rubéole,Non,3,Kit seringues,Consumable,162,116,Non,Tchinda Jules,N/A,2024-12-11,Depot Central Douala,Marché Nkongsamba,2024-12-13,Mboumba Samuel,67,Non,2025-02-02
232,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-13,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,886,Mboumba Samuel,Médecin,Vaccinateur,Oui,6,Rubéole,Non,4,Carnets,Papeterie,65,17,Non,Tchinda Jules,N/A,2024-12-10,Depot Central Douala,Marché Nkongsamba,2024-12-11,Mboumba Samuel,10,Non,2025-02-02
233,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-07,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,747,Essama Victor,Aide-soignant,Enregistreur,Oui,9,Rubéole,Non,1,Glacière,Froid,81,32,Non,Tchinda Jules,6.7,2024-12-06,Depot Central Douala,Marché Nkongsamba,2024-12-08,Essama Victor,15,Non,2025-01-27
234,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-07,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,747,Essama Victor,Aide-soignant,Enregistreur,Oui,9,Rubéole,Non,2,Thermos,Froid,159,37,Oui,Tchinda Jules,4.1,2024-12-06,Depot Central Douala,Marché Nkongsamba,2024-12-08,Essama Victor,25,Non,2025-01-27
235,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-07,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,747,Essama Victor,Aide-soignant,Enregistreur,Oui,9,Rubéole,Non,3,Kit seringues,Consumable,188,60,Non,Tchinda Jules,N/A,2024-12-04,Depot Central Douala,Marché Nkongsamba,2024-12-05,Essama Victor,27,Non,2025-01-27
236,Zone 4,RUB-122024-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2024-12-07,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,747,Essama Victor,Aide-soignant,Enregistreur,Oui,9,Rubéole,Non,4,Carnets,Papeterie,69,36,Non,Tchinda Jules,N/A,2024-12-06,Depot Central Douala,Marché Nkongsamba,2024-12-07,Essama Victor,17,Non,2025-01-27
237,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2025-06-01,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,276,Fotsing David,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,1,Glacière,Froid,108,64,Oui,Tchinda Jules,3.9,2025-05-29,Depot Central Douala,Marché Nkongsamba,2025-05-31,Fotsing David,45,Non,2025-07-27
238,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2025-06-01,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,276,Fotsing David,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,2,Thermos,Froid,112,22,Oui,Tchinda Jules,5.9,2025-05-30,Depot Central Douala,Marché Nkongsamba,2025-06-01,Fotsing David,12,Non,2025-07-27
239,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2025-06-01,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,276,Fotsing David,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,3,Kit seringues,Consumable,154,74,Oui,Tchinda Jules,N/A,2025-05-30,Depot Central Douala,Marché Nkongsamba,2025-05-31,Fotsing David,21,Non,2025-07-27
240,Zone 4,ROU-062025-LIT,Littoral,Nkongsamba,Nkongsamba Sud,Marché Nkongsamba,LIT-NKON-04,2025-06-01,4.088464,9.708526,18,Moyen,Moto,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,276,Fotsing David,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,4,Carnets,Papeterie,87,65,Oui,Tchinda Jules,N/A,2025-05-30,Depot Central Douala,Marché Nkongsamba,2025-06-01,Fotsing David,43,Non,2025-07-27
241,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-12-22,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,218,Ngassa Paul,Médecin,Vaccinateur,Oui,1,Rubéole,Non,1,Glacière,Froid,106,14,Oui,Tchinda Jules,2.3,2024-12-21,Depot Central Douala,Centre Communautaire Bepanda,2024-12-22,Ngassa Paul,3,Non,2025-02-23
242,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-12-22,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,218,Ngassa Paul,Médecin,Vaccinateur,Oui,1,Rubéole,Non,2,Thermos,Froid,53,10,Non,Tchinda Jules,4.8,2024-12-19,Depot Central Douala,Centre Communautaire Bepanda,2024-12-21,Ngassa Paul,7,Non,2025-02-23
243,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-12-22,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,218,Ngassa Paul,Médecin,Vaccinateur,Oui,1,Rubéole,Non,3,Kit seringues,Consumable,74,55,Oui,Tchinda Jules,N/A,2024-12-19,Depot Central Douala,Centre Communautaire Bepanda,2024-12-20,Ngassa Paul,8,Non,2025-02-23
244,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-12-22,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,218,Ngassa Paul,Médecin,Vaccinateur,Oui,1,Rubéole,Non,4,Carnets,Papeterie,123,65,Oui,Tchinda Jules,N/A,2024-12-21,Depot Central Douala,Centre Communautaire Bepanda,2024-12-23,Ngassa Paul,53,Non,2025-02-23
245,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-03-24,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,897,Mballa Joseph,Aide-soignant,Enregistreur,Non,0,Polio,Non,1,Glacière,Froid,150,13,Non,Tchinda Jules,5.7,2024-03-21,Depot Central Douala,Centre Communautaire Bepanda,2024-03-23,Mballa Joseph,12,Non,2024-05-26
246,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-03-24,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,897,Mballa Joseph,Aide-soignant,Enregistreur,Non,0,Polio,Non,2,Thermos,Froid,182,77,Oui,Tchinda Jules,5.0,2024-03-22,Depot Central Douala,Centre Communautaire Bepanda,2024-03-24,Mballa Joseph,40,Non,2024-05-26
247,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-03-24,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,897,Mballa Joseph,Aide-soignant,Enregistreur,Non,0,Polio,Non,3,Kit seringues,Consumable,75,53,Oui,Tchinda Jules,N/A,2024-03-21,Depot Central Douala,Centre Communautaire Bepanda,2024-03-23,Mballa Joseph,26,Non,2024-05-26
248,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2024-03-24,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,897,Mballa Joseph,Aide-soignant,Enregistreur,Non,0,Polio,Non,4,Carnets,Papeterie,114,13,Non,Tchinda Jules,N/A,2024-03-21,Depot Central Douala,Centre Communautaire Bepanda,2024-03-22,Mballa Joseph,7,Non,2024-05-26
249,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2025-06-16,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,463,Mbarga Serge,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,1,Glacière,Froid,127,14,Non,Tchinda Jules,2.6,2025-06-14,Depot Central Douala,Centre Communautaire Bepanda,2025-06-15,Mbarga Serge,8,Non,2025-08-09
250,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2025-06-16,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,463,Mbarga Serge,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,2,Thermos,Froid,112,55,Non,Tchinda Jules,7.5,2025-06-13,Depot Central Douala,Centre Communautaire Bepanda,2025-06-14,Mbarga Serge,23,Non,2025-08-09
251,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2025-06-16,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,463,Mbarga Serge,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,3,Kit seringues,Consumable,172,56,Oui,Tchinda Jules,N/A,2025-06-13,Depot Central Douala,Centre Communautaire Bepanda,2025-06-14,Mbarga Serge,31,Non,2025-08-09
252,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,Centre Communautaire Bepanda,LIT-COMM-02,2025-06-16,4.078932,9.716167,9,Facile,Voiture,KE 0863 MZ,Non,Mbeumo Alice,Oui,Temporaire,1,Tchinda Jules,463,Mbarga Serge,Relais communautaire,Mobilisateur,Non,0,Rougeole,Non,4,Carnets,Papeterie,191,140,Oui,Tchinda Jules,N/A,2025-06-15,Depot Central Douala,Centre Communautaire Bepanda,2025-06-17,Mbarga Serge,102,Non,2025-08-09
253,Zone 1,POL-032024-LIT,Littoral,Deido,Deido Nord,CSI Deido Nord,LIT-DEID-03,2024-03-03,3.900523,9.787847,39,Facile,Voiture,AM 1527 ME,Oui,Mebenga Patrick,Oui,Actif,1,Tchinda Jules,736,Ngono Claire,Médecin,Vaccinateur,Oui,6,Polio,Non,1,Glacière,Froid,110,98,Non,Tchinda Jules,4.0,2024-03-01,Depot Central Douala,CSI Deido Nord,2024-03-03,Ngono Claire,76,Non,2024-05-07
